canonical_candidate,gpu_model,vram_gb,price_aud_observed,best_url,source_types,chatgpt_evidence_count,gemini_evidence_count,total_raw_evidence,total_weighted_evidence,priority_bucket,sample_excerpt,conversation_refs
UNKNOWN,rtx 5060 ti,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,0,4,4,3.6,P3,| Date\_Found | Path\_ID | Category   | Item\_Name                         | Price\_AUD | VRAM\_GB | RAM\_GB | GPU\_Model      | CPU\_Model           | Condition   | Retailer        | Upgradeability | Image\_Gen\_Tier | LLM\_Tier       | Notes                 ,Gemini-Export:conversation_1777955851.txt|conversation_1777961628.txt
asus rog zephyrus g16,rtx 5080,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,0,4,4,3.6,P3,"| \[URL\] |
| 2026-04-26  | 1        | Laptop     | ASUS ROG Zephyrus G16              | 4599       | 12       | 32      | RTX 5080        | Core Ultra 9 275     | New         | Scorptec        | UNKNOWN        | Strong           | Mid             | High-end t",Gemini-Export:conversation_1777955851.txt|conversation_1777961628.txt
UNKNOWN,rtx 4060 ti,16,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,0,4,4,3.6,P3,"The 16GB tier (e.g., RTX 4060 Ti 16GB, RTX 5070 Ti) is currently viewed as the ""sweet spot"" for hobbyists who need professional-grade AI without the high costs of flagship hardware.",Gemini-Export:conversation_1777558354.txt
UNKNOWN,rtx 5090,24,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,0,4,4,3.6,P3,The GeForce RTX 5090 Laptop GPU features a full 24GB of GDDR7 memory.,Gemini-Export:conversation_1777558354.txt
UNKNOWN,rtx 5080,64,7698,UNKNOWN,ChatGPT-Export,3,0,3,3.0,P3,"By comparison, Australian retail references for similar Legion 9 Gen 10 configs are far higher:
- Harvey Norman lists an **RTX 5080 / 64GB / 2TB** Legion at **AU$7,698**.",ChatGPT-Export:69e471ea-45b4-839a-969c-c1a32942376a|69f199b8-63a0-839c-9743-426bcea1420e|6a002701-3fb8-83ec-b3ef-af4e51f8c75f
UNKNOWN,rtx 4060,8,1888,UNKNOWN,ChatGPT-Export,3,0,3,3.0,P3,"- **HP Victus 16.1** — **i7-13700HX**, **RTX 4060 8GB**, **32GB**, **1TB**, **A$1,888** at Harvey Norman.",ChatGPT-Export:69d959a3-4650-839f-83e6-f265ebefeb24|69ed2fce-3f58-839f-8c8d-8004b0e18992
UNKNOWN,rtx 4080,12,UNKNOWN,UNKNOWN,ChatGPT-Export,3,0,3,3.0,P3,"On the **new local** side, most realistic under-A$4.5k options are either **RTX 4080 / 12GB** machines discounted into range, or brand-new **RTX 5070 Ti / 12GB** systems.",ChatGPT-Export:69e58518-7fb8-83a1-ac74-f78c3c2a0686|6a002701-3fb8-83ec-b3ef-af4e51f8c75f
UNKNOWN,rtx 4090,32,3599,UNKNOWN,ChatGPT-Export,3,0,3,3.0,P3,"**Bottom line:**  
At **A$3,599**, this is a **strong price for a premium RTX 4090 Legion**, especially with 32GB/2TB and upgradeable RAM/storage.",ChatGPT-Export:69e88ff7-a4c0-839d-8c99-501b955fa5e8|69f199b8-63a0-839c-9743-426bcea1420e
msi vector a18,rtx 5070 ti,12,3150,https://www.tecs.com.au/EX-DISPLAY%3A-MSI-Vector-A18-HX-A9WHG-062AU-AMD-Ryzen-9-9955HX%2C-RTX-5070-Ti-12GB%2C-32GB-DDR5-RAM%2C-1TB-NVMe-SSD%2C-18%22-2560-x-1600-240Hz%2C-Windows-11-Home-Advanced%2C-1-Year-Warranty-X5420BB-21791/,ChatGPT-Export,3,0,3,3.0,P3,| Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **MSI Vector A18 HX A9WHG-062AU** https://www.tecs.com.au/EX-DISPLAY%3A-MSI-Vector-A18-HX-A9WHG-062AU-AMD-Ryzen-9-9955HX%2C-RTX-5070-Ti-12GB%2C-32GB-DDR5-RAM%2C-1TB-NVMe-SSD%2C-18%22-2560-x-1,ChatGPT-Export:69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rtx 3080 ti,24,UNKNOWN,https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com,ChatGPT-Export,3,0,3,3.0,P3,"([ebay.com.au](https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com))
- Gumtree AU shows local RTX 3090 examples including a Hampton Park VIC listing at **$1,500**, but pr",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
lenovo legion pro 7i,rtx 3080 ti,16,3599,UNKNOWN,ChatGPT-Export,3,0,3,3.0,P3,"Lenovo Legion Pro 7i RTX 4090 16GB — claimed around AUD $3,599 via MikePC sale
3.",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
UNKNOWN,rtx 5080,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,ChatGPT-Export|Gemini-Export,2,1,3,2.9,P3,"Within PB Tech’s MSI 18-inch range, the jump to RTX 5080-class 18-inch models is very large, landing around **A$5.7k–A$6.1k**, which makes this Crosshair look like the more pragmatic value tier rather than a compromised near-flagship.",ChatGPT-Export:69e642dd-226c-839a-9471-f582f138dec4|69f199b8-63a0-839c-9743-426bcea1420e || Gemini-Export:conversation_1777955851.txt
UNKNOWN,rtx 4090,24,5799,https://supertechcomputers.com.au/product/rtx4090-gaming-pc/,ChatGPT-Export|Gemini-Export,2,1,3,2.9,P3,"| Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Supertech RTX 4090 Gaming PC** https://supertechcomputers.com.au/product/rtx4090-gaming-pc/ i7-14700K; RTX 4090 24GB; 32GB RAM; 1TB Kingston KC3000 SSD; 850W PSU AUD $5,799 sale; new **24GB",ChatGPT-Export:69ed2fce-3f58-839f-8c8d-8004b0e18992 || Gemini-Export:conversation_1777558354.txt
UNKNOWN,rtx 5070,8,5298,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,ChatGPT-Export|Gemini-Export,1,2,3,2.8,P3,"- **Predator Triton 14 AI** — **14-inch OLED touchscreen**, **Core Ultra 9-288V**, **RTX 5070 8GB**, **32GB**, **2TB**, **A$5,298** at Harvey Norman.",ChatGPT-Export:69d959a3-4650-839f-83e6-f265ebefeb24 || Gemini-Export:conversation_1777955851.txt
UNKNOWN,rtx 4080,UNKNOWN,3998,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,ChatGPT-Export|Gemini-Export,1,2,3,2.8,P3,"The best value clusters are:
- **Local new 18-inch RTX 4080** around **A$3,998–4,499**,
- **Local custom-barebones 17.3-inch RTX 5070 Ti** around **A$3,499**,
- **Imported/refurb 17–18 inch RTX 4090** around **A$3.6k–4.3k raw landed before any uncertain extra ",ChatGPT-Export:69e58518-7fb8-83a1-ac74-f78c3c2a0686 || Gemini-Export:conversation_1777955851.txt
UNKNOWN,rtx 3060,12,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,0,3,3,2.7,P3,"The 12GB tier, represented by cards like the RTX 3060 12GB and the newer RTX 5060, is the absolute minimum for a ""responsive"" local LLM experience.",Gemini-Export:conversation_1777558354.txt
lenovo legion pro 5i,rtx 5070 ti,12,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,0,3,3,2.7,P3,"| \[URL\] |
| 2026-04-26  | 1        | Laptop     | Lenovo Legion Pro 5i 16IAX10H      | 3699       | 12       | 32      | RTX 5070 Ti     | Core Ultra 9 275HX   | New         | Scorptec        | UNKNOWN        | Strong           | Mid             | Better 12G",Gemini-Export:conversation_1777955851.txt
UNKNOWN,rtx 5070 ti,24,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,0,3,3,2.7,P3,"| \[URL\] |
| 2026-04-26  | 3        | Desktop    | PLE AI Advanced RTX 5070 Ti        | 3907       | 16       | 32      | RTX 5070 Ti     | Ryzen 7 9700X        | New         | PLE Computers   | Good           | Strong           | Strong          | Clean loca",Gemini-Export:conversation_1777955851.txt
lenovo legion pro 7i,rtx 4090,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,0,3,3,2.7,P3,"| \[URL\] |
| 2026-04-26  | 1        | Laptop     | Lenovo Legion Pro 7i RTX 4090      | 3599       | 16       | 64      | RTX 4090        | Core i9-14900HX      | New         | Mike PC         | Moderate       | Strong           | Strong          | Best one-d",Gemini-Export:conversation_1777955851.txt
UNKNOWN,rtx 3050,4,3139,UNKNOWN,ChatGPT-Export,2,0,2,2.0,P3,"Your saved listing is a **17Z90SP-ED7HK**, **Ultra 7 155H**, **RTX 3050 4GB**, **32GB RAM**, **512GB SSD**, around **AU$3,139**, from a seller with **99.3% positive feedback**, **joined in 2020**, **30-day returns**, and shipping from **South Korea**.",ChatGPT-Export:69e20cd5-7728-839c-a1e8-c58a361e87a2|69e92985-6e6c-839e-87db-030b32b07464
UNKNOWN,rtx 5070,32,3446.74,UNKNOWN,ChatGPT-Export,2,0,2,2.0,P3,"The Crosshair 18 HX AI model you surfaced is about **A$3,446.74**, but for that extra money you move to a much stronger package: **Core Ultra 9 275HX**, **32GB RAM**, **18-inch QHD+ 240Hz**, **RTX 5070 8GB**, **798 AI TOPS**, **100% DCI-P3** on the display, an",ChatGPT-Export:69e65d3d-6e64-839a-95ae-c7e77c8a09a9|69e88ff7-a4c0-839d-8c99-501b955fa5e8
UNKNOWN,rtx 5000,64,814,UNKNOWN,ChatGPT-Export,2,0,2,2.0,P3,"**Yes — as a cheap, brute-force desktop-replacement refurb, this is actually quite compelling.**  
At **A$814**, it gives you a **17.3-inch chassis**, **64GB RAM**, a **Quadro/RTX 5000 GPU**, and a **12-month return-to-base warranty** with a **30-day change-of",ChatGPT-Export:69e65d3d-6e64-839a-95ae-c7e77c8a09a9|69e88ff7-a4c0-839d-8c99-501b955fa5e8
UNKNOWN,rtx 3090,16,4000,UNKNOWN,ChatGPT-Export,2,0,2,2.0,P3,"AUD $4,000–$4,500 **16GB VRAM** **Watchlist** Fast image generation and CUDA, but not as good for 32B models as RTX 3090 24GB.",ChatGPT-Export:69ed2fce-3f58-839f-8c8d-8004b0e18992|69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rtx 4070,8,2899,UNKNOWN,ChatGPT-Export,2,0,2,2.0,P3,"AUD $2,899 in prior review context | **8GB VRAM likely** | **8GB VRAM likely** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Aorus 16X ASG** SMBtech category reference from prior report i9-14900HX; RTX 4070; 16-inch 2560×1600 165Hz App",ChatGPT-Export:69ed2fce-3f58-839f-8c8d-8004b0e18992
UNKNOWN,rtx 4070 ti,16,2400,UNKNOWN,ChatGPT-Export,2,0,2,2.0,P3,"AUD $2,400–$3,300 | **16GB VRAM external** | **16GB VRAM external** | Unknown | Unknown | consolidated_personal_shopper_product_doc.md | **Minisforum MS-01 + DEG1 OCuLink + RTX 4070 Ti Super 16GB** Stage 2 compact modular path MS-01; DEG1 dock; RTX 4070 Ti Sup",ChatGPT-Export:69ed2fce-3f58-839f-8c8d-8004b0e18992
UNKNOWN,rtx 3090,6,UNKNOWN,UNKNOWN,ChatGPT-Export,2,0,2,2.0,P3,"| Rank | System & vendor | Approx total cost in AUD | Likely GPU / RAM / storage | Chassis class | Why it appears promising | Concern flags |
|---|---|---|---|---|---|---|
| **1** | **Aftershock Ultrafocus Pro (custom workstation)** | ≈ A$11–12 k (from SGD $10",ChatGPT-Export:69f5ad8c-cb34-839a-beac-2ffa0cd19f56
razer blade 18,rtx 3080 ti,16,4789,UNKNOWN,ChatGPT-Export,2,0,2,2.0,P3,"Razer Blade 18 RTX 4090 16GB — claimed around AUD $4,789
2.",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
hp omen 17,rtx 3080 ti,16,3500,UNKNOWN,ChatGPT-Export,2,0,2,2.0,P3,"HP Omen 17 RTX 4090 16GB — claimed around AUD $3,500 used/open-box
4.",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
msi vector 16,rtx 3080 ti,UNKNOWN,UNKNOWN,UNKNOWN,ChatGPT-Export,2,0,2,2.0,P3,"|
| **2** | **New AU RTX 5080 laptop, especially MSI Vector 16 HX AI** | Best one-device laptop path under A$4.5k.",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
UNKNOWN,rtx 5070 ti,UNKNOWN,4499,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,ChatGPT-Export|Gemini-Export,1,1,2,1.9,P3,"Lenovo’s own AU search snippets show a **Legion Pro 7i Gen 10 with RTX 5070 Ti at A$4,499**, while Centre Com snippets show the **Legion Pro 7i Gen 10 RTX 5080 at A$5,999**.",ChatGPT-Export:69e88ff7-a4c0-839d-8c99-501b955fa5e8 || Gemini-Export:conversation_1777955851.txt
UNKNOWN,rtx 3090,64,2000,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,ChatGPT-Export|Gemini-Export,1,1,2,1.9,P3,"Budget is approximately AUD $2,000\u2013$3,500.\n\nI have previously been told that:\n- To run \u201cClaude-level\u201d coding models locally (e.g., Qwen 2.5-Coder 32B, DeepSeek-V3), very large memory is required.\n- Apple Silicon\u2019s unified memory (e.g., ",ChatGPT-Export:69ec9edd-918c-839a-8728-2dd1a78a3d95 || Gemini-Export:conversation_1777558354.txt
UNKNOWN,rtx 3090,32,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,0,2,2,1.8,P3,"| Product Identification |                                                             |
| :--------------------: | :---------------------------------------------------------: |
| **System Integrator**  | Mike PC                                                ",Gemini-Export:conversation_1777558354.txt
UNKNOWN,rtx 5070,64,4999,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"citeturn478978view0
- **ASUS ProArt P16** — **16-inch 3K touchscreen**, **Ryzen AI 9 HX 370**, **RTX 5070**, **64GB**, **1TB**, **A$4,999** at Scorptec.",ChatGPT-Export:69d959a3-4650-839f-83e6-f265ebefeb24
razer blade 16,rtx 4080,UNKNOWN,3700,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"**Razer Blade 16 (2024, RTX 4080 OLED) — best premium one-box**
Your saved Blade 16 listing is surfacing around **AU$3,700** on eBay.",ChatGPT-Export:69e20cd5-7728-839c-a1e8-c58a361e87a2
UNKNOWN,rtx 5050,32,2474.25,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"| Option | Buy path / price signal | Release | NPU / TOPS | Main upside | Main downside | Score / 100 | Refs |
|---|---|---:|---|---|---|---:|---|
| **LG gram 17 AU (17Z90TL-G.AU88A)** | **A$2,474.25** official AU listing | **2025** | **Yes, 47 TOPS** | Best c",ChatGPT-Export:69e20cd5-7728-839c-a1e8-c58a361e87a2
razer blade 18,rtx 5090,64,1612,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"This listing shows a **brand-new** Razer Blade 18 with **Ultra 9 275HX, RTX 5090, 64GB RAM, and 4TB SSD** for about **AU$1,612**.",ChatGPT-Export:69e44757-2364-83a0-acd0-25e12905cb03
UNKNOWN,rtx 4080,32,3989.05,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"The listing is for a **refurbished Scar 18** with **i9-14900HX, RTX 4080, 32GB RAM, 2TB SSD** at **AU$3,989.05**, sold by the same established AU refurb seller.",ChatGPT-Export:69e473a6-f9dc-839b-89ea-2b8ce865aba0
